Episode,Score,Lines_Cleared,Epsilon
1,0,0,0.5
2,0,0,0.4995
3,0,0,0.4990005
4,0,0,0.4985014995
5,0,0,0.4980029980005
6,0,0,0.4975049950024995
7,40,1,0.497007490007497
8,80,2,0.4965104825174895
9,40,1,0.49601397203497205
10,0,0,0.4955179580629371
11,0,0,0.4950224401048741
12,360,9,0.49452741766476926
13,0,0,0.4940328902471045
14,0,0,0.4935388573568574
15,80,2,0.4930453184995005
16,0,0,0.49255227318100103
17,0,0,0.49205972090782
18,40,1,0.4915676611869122
19,0,0,0.4910760935257253
20,40,1,0.49058501743219957
21,40,1,0.49009443241476736
22,0,0,0.4896043379823526
23,0,0,0.48911473364437025
24,40,1,0.48862561891072587
25,40,1,0.48813699329181515
26,0,0,0.48764885629852334
27,120,3,0.4871612074422248
28,40,1,0.48667404623478255
29,180,4,0.4861873721885478
30,40,1,0.48570118481635927
31,120,3,0.48521548363154293
32,40,1,0.48473026814791137
33,0,0,0.48424553787976343
34,0,0,0.48376129234188364
35,0,0,0.48327753104954174
36,80,2,0.4827942535184922
37,0,0,0.4823114592649737
38,0,0,0.48182914780570874
39,80,2,0.48134731865790303
40,160,4,0.48086597133924514
41,0,0,0.4803851053679059
42,0,0,0.479904720262538
43,0,0,0.47942481554227545
44,0,0,0.4789453907267332
45,40,1,0.47846644533600646
46,0,0,0.47798797889067046
47,0,0,0.4775099909117798
48,160,4,0.47703248092086803
49,0,0,0.4765554484399472
50,40,1,0.47607889299150724
51,0,0,0.47560281409851574
52,0,0,0.4751272112844172
53,40,1,0.4746520840731328
54,0,0,0.47417743198905965
55,0,0,0.4737032545570706
56,80,2,0.4732295513025135
57,40,1,0.47275632175121096
58,120,3,0.47228356542945976
59,0,0,0.4718112818640303
60,0,0,0.4713394705821663
61,40,1,0.47086813111158415
62,40,1,0.4703972629804726
63,0,0,0.4699268657174921
64,0,0,0.4694569388517746
65,180,4,0.46898748191292283
66,40,1,0.4685184944310099
67,40,1,0.4680499759365789
68,80,2,0.4675819259606423
69,0,0,0.46711434403468166
70,40,1,0.466647229690647
71,0,0,0.46618058246095634
72,40,1,0.4657144018784954
73,40,1,0.4652486874766169
74,0,0,0.4647834387891403
75,0,0,0.46431865535035116
76,0,0,0.4638543366950008
77,0,0,0.4633904823583058
78,40,1,0.4629270918759475
79,0,0,0.46246416478407154
80,40,1,0.46200170061928747
81,0,0,0.4615396989186682
82,0,0,0.46107815921974954
83,0,0,0.4606170810605298
84,40,1,0.46015646397946924
85,0,0,0.4596963075154898
86,0,0,0.4592366112079743
87,40,1,0.4587773745967664
88,160,4,0.4583185972221696
89,0,0,0.45786027862494744
90,0,0,0.4574024183463225
91,0,0,0.4569450159279762
92,0,0,0.45648807091204824
93,340,8,0.4560315828411362
94,80,2,0.4555755512582951
95,0,0,0.4551199757070368
96,40,1,0.45466485573132975
97,0,0,0.45421019087559844
98,80,2,0.45375598068472284
99,80,2,0.45330222470403814
100,0,0,0.4528489224793341
101,0,0,0.4523960735568548
102,0,0,0.45194367748329795
103,40,1,0.45149173380581464
104,0,0,0.4510402420720088
105,40,1,0.45058920182993684
106,0,0,0.4501386126281069
107,40,1,0.4496884740154788
108,0,0,0.4492387855414633
109,40,1,0.4487895467559218
110,0,0,0.4483407572091659
111,40,1,0.4478924164519567
112,0,0,0.4474445240355048
113,40,1,0.4469970795114693
114,0,0,0.4465500824319578
115,0,0,0.4461035323495259
116,0,0,0.44565742881717635
117,0,0,0.44521177138835916
118,0,0,0.4447665596169708
119,40,1,0.44432179305735386
120,0,0,0.4438774712642965
121,0,0,0.4434335937930322
122,0,0,0.4429901601992392
123,0,0,0.44254717003904
124,0,0,0.44210462286900093
125,80,2,0.44166251824613195
126,0,0,0.44122085572788583
127,0,0,0.44077963487215793
128,0,0,0.4403388552372858
129,80,2,0.43989851638204847
130,200,5,0.4394586178656664
131,80,2,0.43901915924780077
132,40,1,0.43858014008855295
133,0,0,0.4381415599484644
134,100,2,0.4377034183885159
135,40,1,0.4372657149701274
136,0,0,0.4368284492551573
137,0,0,0.43639162080590216
138,0,0,0.43595522918509627
139,0,0,0.43551927395591117
140,0,0,0.43508375468195526
141,40,1,0.43464867092727333
142,40,1,0.43421402225634603
143,0,0,0.4337798082340897
144,0,0,0.43334602842585557
145,0,0,0.4329126823974297
146,40,1,0.43247976971503227
147,0,0,0.4320472899453172
148,40,1,0.4316152426553719
149,0,0,0.4311836274127165
150,40,1,0.43075244378530375
151,80,2,0.43032169134151843
152,40,1,0.42989136965017694
153,0,0,0.4294614782805268
154,40,1,0.42903201680224623
155,0,0,0.428602984785444
156,40,1,0.4281743818006586
157,40,1,0.42774620741885794
158,0,0,0.42731846121143907
159,80,2,0.42689114275022766
160,40,1,0.4264642516074774
161,0,0,0.42603778735586995
162,0,0,0.42561174956851405
163,0,0,0.42518613781894554
164,0,0,0.4247609516811266
165,40,1,0.42433619072944545
166,140,3,0.423911854538716
167,0,0,0.4234879426841773
168,0,0,0.4230644547414931
169,0,0,0.42264139028675163
170,0,0,0.4222187488964649
171,40,1,0.4217965301475684
172,80,2,0.42137473361742084
173,0,0,0.4209533588838034
174,0,0,0.4205324055249196
175,0,0,0.4201118731193947
176,0,0,0.4196917612462753
177,40,1,0.419272069485029
178,220,5,0.41885279741554393
179,0,0,0.4184339446181284
180,40,1,0.4180155106735103
181,0,0,0.4175974951628368
182,0,0,0.41717989766767394
183,0,0,0.4167627177700063
184,40,1,0.41634595505223626
185,40,1,0.415929609097184
186,120,3,0.4155136794880868
187,40,1,0.4150981658085987
188,0,0,0.4146830676427901
189,0,0,0.4142683845751473
190,40,1,0.41385411619057216
191,0,0,0.4134402620743816
192,0,0,0.4130268218123072
193,40,1,0.4126137949904949
194,40,1,0.4122011811955044
195,160,4,0.4117889800143089
196,0,0,0.4113771910342946
197,0,0,0.4109658138432603
198,0,0,0.41055484802941705
199,0,0,0.4101442931813876
200,0,0,0.40973414888820625
201,80,2,0.409324414739318
202,0,0,0.4089150903245787
203,80,2,0.4085061752342541
204,80,2,0.40809766905901984
205,0,0,0.4076895713899608
206,40,1,0.40728188181857083
207,0,0,0.4068745999367523
208,0,0,0.4064677253368155
209,80,2,0.4060612576114787
210,80,2,0.4056551963538672
211,0,0,0.4052495411575133
212,40,1,0.4048442916163558
213,120,3,0.40443944732473947
214,0,0,0.4040350078774147
215,0,0,0.4036309728695373
216,80,2,0.40322734189666776
217,0,0,0.4028241145547711
218,140,3,0.4024212904402163
219,80,2,0.4020188691497761
220,80,2,0.4016168502806263
221,80,2,0.4012152334303457
222,0,0,0.40081401819691537
223,0,0,0.40041320417871845
