Episode,Score,Lines_Cleared,Epsilon
1,0,0,1.0
2,0,0,0.9985
3,0,0,0.9970022500000001
4,0,0,0.9955067466250002
5,40,1,0.9940134865050627
6,0,0,0.9925224662753052
7,0,0,0.9910336825758923
8,0,0,0.9895471320520285
9,0,0,0.9880628113539505
10,0,0,0.9865807171369196
11,120,3,0.9851008460612143
12,0,0,0.9836231947921226
13,0,0,0.9821477599999344
14,0,0,0.9806745383599346
15,0,0,0.9792035265523947
16,0,0,0.9777347212625662
17,0,0,0.9762681191806725
18,0,0,0.9748037170019015
19,0,0,0.9733415114263987
20,0,0,0.9718814991592591
21,0,0,0.9704236769105203
22,0,0,0.9689680413951546
23,40,1,0.9675145893330619
24,0,0,0.9660633174490624
25,0,0,0.9646142224728889
26,0,0,0.9631673011391796
27,0,0,0.9617225501874709
28,0,0,0.9602799663621897
29,0,0,0.9588395464126465
30,0,0,0.9574012870930275
31,0,0,0.955965185162388
32,0,0,0.9545312373846445
33,0,0,0.9530994405285677
34,0,0,0.9516697913677749
35,0,0,0.9502422866807232
36,0,0,0.9488169232507021
37,0,0,0.9473936978658261
38,40,1,0.9459726073190273
39,100,2,0.9445536484080488
40,0,0,0.9431368179354368
41,0,0,0.9417221127085337
42,0,0,0.9403095295394709
43,0,0,0.9388990652451618
44,0,0,0.9374907166472941
45,0,0,0.9360844805723232
46,40,1,0.9346803538514648
47,0,0,0.9332783333206877
48,40,1,0.9318784158207066
49,0,0,0.9304805981969756
50,0,0,0.9290848772996801
51,0,0,0.9276912499837306
52,0,0,0.9262997131087551
53,0,0,0.924910263539092
54,0,0,0.9235228981437834
55,0,0,0.9221376137965678
56,0,0,0.920754407375873
57,0,0,0.9193732757648092
58,0,0,0.917994215851162
59,0,0,0.9166172245273854
60,40,1,0.9152422986905944
61,0,0,0.9138694352425585
62,0,0,0.9124986310896946
63,0,0,0.9111298831430602
64,0,0,0.9097631883183457
65,0,0,0.9083985435358682
66,0,0,0.9070359457205645
67,0,0,0.9056753918019836
68,0,0,0.9043168787142807
69,0,0,0.9029604033962093
70,0,0,0.901605962791115
71,0,0,0.9002535538469284
72,0,0,0.898903173516158
73,80,2,0.8975548187558838
74,0,0,0.8962084865277501
75,0,0,0.8948641737979585
76,0,0,0.8935218775372615
77,0,0,0.8921815947209557
78,0,0,0.8908433223288743
79,0,0,0.889507057345381
80,0,0,0.888172796759363
81,0,0,0.886840537564224
82,0,0,0.8855102767578777
83,0,0,0.884182011342741
84,0,0,0.882855738325727
85,0,0,0.8815314547182383
86,0,0,0.880209157536161
87,0,0,0.8788888437998569
88,0,0,0.8775705105341571
89,40,1,0.876254154768356
90,0,0,0.8749397735362036
91,40,1,0.8736273638758993
92,0,0,0.8723169228300856
93,0,0,0.8710084474458405
94,0,0,0.8697019347746718
95,0,0,0.8683973818725099
96,0,0,0.8670947857997012
97,0,0,0.8657941436210017
98,0,0,0.8644954524055702
99,0,0,0.863198709226962
100,0,0,0.8619039111631216
101,0,0,0.8606110552963769
102,0,0,0.8593201387134324
103,0,0,0.8580311585053623
104,0,0,0.8567441117676042
105,0,0,0.8554589955999529
106,0,0,0.8541758071065529
107,0,0,0.8528945433958932
108,40,1,0.8516152015807994
109,40,1,0.8503377787784282
